student_id,gender,age,study_hours,attendance_rate,previous_scores,parental_education,school_type,extracurricular,final_math_score
1001,Male,17,9.1,68.7,70.0,Bachelor’s,Private,3,86.2
1002,Female,17,10.5,66.6,84.8,Bachelor’s,Public,3,90.6
1003,Male,17,17.4,58.8,73.8,High School,Private,3,94.1
1004,Male,17,8.1,80.4,45.0,High School,Public,1,82.9
1005,Male,18,17.7,73.8,51.1,Master’s,Public,2,98.6
1006,Female,17,3.6,93.3,53.2,Master’s,Private,4,77.8
1007,Male,15,16.0,51.6,55.5,Bachelor’s,Public,4,85.3
1008,Male,17,17.3,82.2,73.9,High School,Public,4,100.0
1009,Male,18,5.3,88.1,70.2,Master’s,Public,4,95.3
1010,Female,17,9.7,88.0,52.2,Master’s,Public,1,80.8
1011,Male,15,5.0,94.3,44.1,High School,Public,2,67.9
1012,Male,18,14.7,86.5,50.3,Bachelor’s,Public,1,90.9
1013,Male,18,11.6,96.4,99.1,Master’s,Private,2,100.0
1014,Male,15,13.4,66.6,68.1,Master’s,Public,1,84.3
1015,Female,15,5.5,75.2,92.0,High School,Private,0,93.9
1016,Male,15,5.8,50.7,90.9,High School,Public,2,83.0
1017,Female,15,2.7,50.3,70.7,Bachelor’s,Public,4,64.8
1018,Female,15,7.8,62.0,82.4,Bachelor’s,Public,2,82.5
1019,Female,18,12.1,55.0,51.6,Master’s,Public,3,76.6
1020,Male,18,17.4,63.0,81.3,Bachelor’s,Public,2,100.0
1021,Female,17,14.0,58.9,56.3,Master’s,Public,3,81.3
1022,Male,17,9.8,51.4,89.9,Master’s,Public,3,99.9
1023,Female,16,19.2,95.5,45.0,High School,Public,0,94.5
1024,Female,17,14.9,50.4,86.4,Master’s,Private,2,85.1
1025,Female,17,18.7,86.8,46.0,High School,Private,0,98.4
1026,Female,15,11.5,57.6,92.9,Master’s,Private,4,100.0
1027,Female,15,6.7,95.6,58.3,Master’s,Private,2,84.6
1028,Female,17,3.0,94.6,79.3,Master’s,Public,1,76.9
1029,Female,16,15.1,82.7,69.3,Bachelor’s,Public,1,98.8
1030,Female,15,4.2,83.6,62.0,Bachelor’s,Public,1,71.8
1031,Male,17,7.4,50.3,78.7,High School,Private,3,85.5
1032,Male,17,11.6,99.2,96.9,Master’s,Private,1,100.0
1033,Female,18,12.2,93.9,42.5,High School,Private,4,90.4
1034,Female,16,12.8,94.8,95.1,High School,Public,2,100.0
1035,Female,18,5.0,83.0,76.5,Master’s,Public,2,80.2
1036,Male,16,8.8,67.2,88.4,Bachelor’s,Private,3,90.2
1037,Female,15,13.1,94.7,63.0,Bachelor’s,Public,3,100.0
1038,Male,16,19.5,64.6,68.3,High School,Public,3,87.5
1039,Male,17,15.1,78.1,92.1,Bachelor’s,Public,4,100.0
1040,Male,17,18.6,55.0,64.9,Master’s,Private,2,89.6
1041,Male,16,15.7,96.1,72.1,Master’s,Public,0,100.0
1042,Male,16,12.7,57.0,41.2,Bachelor’s,Private,3,66.5
1043,Female,16,5.5,61.2,49.5,Bachelor’s,Private,1,68.3
1044,Female,18,14.0,77.9,78.5,High School,Public,0,98.4
1045,Female,16,13.2,88.2,83.0,Bachelor’s,Public,0,100.0
1046,Female,15,12.8,81.0,75.0,High School,Public,3,100.0
1047,Female,18,10.8,61.6,48.6,Master’s,Private,1,77.5
1048,Male,18,11.5,50.0,66.7,Master’s,Private,3,75.3
1049,Female,16,8.0,87.9,61.3,Master’s,Public,3,85.0
1050,Female,15,11.3,99.3,69.7,Bachelor’s,Public,1,100.0
1051,Male,18,5.6,90.5,92.2,Bachelor’s,Private,0,91.3
1052,Female,17,16.5,73.0,86.6,Bachelor’s,Private,0,100.0
1053,Male,18,5.3,95.2,45.0,High School,Private,1,73.7
1054,Female,16,3.5,70.5,93.4,High School,Private,0,79.8
1055,Male,15,9.9,76.2,68.3,High School,Private,4,93.9
